id,name,native,population,prefecture,prefecture_display,area_km2,density_km2,population_rank,population_prefecture_rank,density_km2_rank,density_km2_prefecture_rank,area_km2_rank,area_km2_prefecture_rank,growth_annual_pct,growth_annual_pct_rank,growth_annual_pct_prefecture_rank,division_type,division_type_native,division_type_display
191,Sayama,狭山,361026,Iwatsu,Iwatsu,236.1195,1528.9969697547217,71,5,118,12,200,27,0.76,78,17,Dō,道,Municipality
192,Mooka,真岡,222493,Iwatsu,Iwatsu,112.751,1973.3128752738335,147,12,106,10,245,32,1.23,26,9,Dō,道,Municipality
193,Gose,御所,248010,Iwatsu,Iwatsu,167.688,1478.99670817232,120,8,119,13,216,28,1.44,11,4,Dō,道,Municipality
194,Ibara,井原,242483,Iwatsu,Iwatsu,167.2085,1450.1834535923713,127,10,120,14,219,29,1.49,10,3,Dō,道,Municipality
195,Urado,浦戸,246340,Iwatsu,Iwatsu,87.4745,2816.1349879107624,124,9,78,4,264,38,1.52,7,1,To,都,Municipal-level city
196,Haga,芳賀,123549,Iwatsu,Iwatsu,465.5945,265.35751603594974,250,27,201,25,156,19,0.69,89,20,Dō,道,Municipality
197,Kuga,玖珂,145042,Iwatsu,Iwatsu,3335.813,43.48025503827702,215,20,261,36,48,6,-0.56,243,34,Dō,道,Municipality
198,Shibushi,志布志,423303,Iwatsu,Iwatsu,626.4325,675.7360130580709,55,3,161,19,138,15,1.28,19,6,Dō,道,Municipality
199,Wake,和気,141699,Iwatsu,Iwatsu,1266.908,111.84632191129901,220,21,237,31,99,12,0.45,121,23,Dō,道,Municipality
200,Sakurae,桜江,688293,Iwatsu,Iwatsu,126.725,5431.39080686526,20,2,50,1,235,31,0.8,72,15,To,都,Municipal-level city
201,Kōsa,甲佐,118378,Iwatsu,Iwatsu,59.732,1981.8187905980044,263,31,105,9,288,42,0.42,125,25,Dō,道,Municipality
202,Mimasaka,美作,197939,Iwatsu,Iwatsu,78.7065,2514.900294130726,161,13,94,8,270,39,0.44,122,24,To,都,Municipal-level city
203,Toba,鳥羽,156492,Iwatsu,Iwatsu,60.3485,2593.1381890187827,198,17,83,6,287,41,1.13,33,10,To,都,Municipal-level city
204,Naka,那珂,139665,Iwatsu,Iwatsu,276.9455,504.30499863691597,223,22,175,21,188,24,0.85,65,14,Dō,道,Municipality
205,Ozu,大洲,136594,Iwatsu,Iwatsu,51.375,2658.76399026764,230,23,81,5,297,43,1.24,25,8,To,都,Municipal-level city
206,Karatsu,唐津,289293,Iwatsu,Iwatsu,244.0655,1185.30886176047,99,6,131,18,195,25,0.27,144,29,Dō,道,Municipality
207,Sakaide,坂出,276177,Iwatsu,Iwatsu,1662.221,166.14938687454918,105,7,227,30,83,10,-0.05,169,30,Dō,道,Municipality
208,Handa,半田,120018,Iwatsu,Iwatsu,3699.0,32.44606650446067,258,30,271,37,46,5,-1.09,295,40,Dō,道,Municipality
209,Ena,恵那,161194,Iwatsu,Iwatsu,8263.361,19.507074663687085,191,16,294,41,14,1,-0.95,281,39,Dō,道,Municipality
210,Muroto,室戸,173289,Iwatsu,Iwatsu,327.43,529.2398375225239,181,15,170,20,179,22,0.86,64,13,Dō,道,Municipality
211,Taki,多気,115386,Iwatsu,Iwatsu,334.828,344.61275640030107,268,32,188,24,177,21,0.7,87,19,Dō,道,Municipality
212,Hagi,萩,120482,Iwatsu,Iwatsu,98.2975,1225.6873267377096,257,29,127,16,256,34,0.75,80,18,Dō,道,Municipality
213,Kurotani,黒谷,854197,Iwatsu,Iwatsu,163.852,5213.222908478383,11,1,54,2,222,30,0.31,140,28,To,都,Municipal-level city
214,Mitsuke,見附,194853,Iwatsu,Iwatsu,75.5555,2578.9386609843095,169,14,85,7,276,40,0.78,73,16,To,都,Municipal-level city
215,Kōka,甲賀,131596,Iwatsu,Iwatsu,110.7645,1188.0701849419263,233,24,130,17,246,33,1.5,9,2,Dō,道,Municipality
216,Kasari,笠利,120693,Iwatsu,Iwatsu,92.8175,1300.3259083685728,256,28,122,15,261,36,0.97,50,11,Dō,道,Municipality
217,Hozumi,保積,148978,Iwatsu,Iwatsu,353.9395,420.9137437330391,208,19,183,22,173,20,1.27,20,7,Dō,道,Municipality
218,Fukuyama,福山,226190,Iwatsu,Iwatsu,3084.281,73.33637888376578,144,11,253,33,52,7,-0.25,199,33,Dō,道,Municipality
219,Himi,氷見,130595,Iwatsu,Iwatsu,624.3775,209.16032368238763,236,25,211,26,140,16,0.33,137,27,Dō,道,Municipality
220,Yobuko,呼子,112492,Iwatsu,Iwatsu,626.501,179.55597836236495,270,33,214,27,137,14,-0.1,175,32,Dō,道,Municipality
221,Kuroe,黒江,102694,Iwatsu,Iwatsu,610.609,168.18291246935436,276,36,225,29,144,18,-0.09,174,31,Dō,道,Municipality
222,Awa,安房,107582,Iwatsu,Iwatsu,623.898,172.4352378113089,272,34,218,28,141,17,0.49,111,22,Dō,道,Municipality
223,Akō,赤穂,149100,Iwatsu,Iwatsu,89.1185,1673.0532942093955,207,18,115,11,262,37,0.37,132,26,To,都,Municipal-level city
224,Katsuura,勝浦,102485,Iwatsu,Iwatsu,962.699,106.4559119724857,278,37,239,32,110,13,-0.65,255,35,Dō,道,Municipality
225,Miki,三木,87670,Iwatsu,Iwatsu,2012.873,43.554660428154186,288,39,260,35,69,9,-0.72,267,36,Dō,道,Municipality
226,Uda,宇陀,85672,Iwatsu,Iwatsu,240.5035,356.2193481591744,290,40,186,23,197,26,1.37,15,5,Dō,道,Municipality
227,Sanda,三田,130194,Iwatsu,Iwatsu,5406.363,24.08162381993218,238,26,278,39,27,2,-1.32,312,42,Dō,道,Municipality
228,Inabe,員弁,104599,Iwatsu,Iwatsu,4457.706,23.464759676838266,274,35,279,40,39,3,-0.81,274,37,Dō,道,Municipality
229,Kikai,喜界,98493,Iwatsu,Iwatsu,3892.033,25.306311637131547,280,38,275,38,45,4,-0.85,277,38,Dō,道,Municipality
230,Chibu,知夫,11392,Teizan,Teizan,562.1795,20.263990415872513,328,11,291,9,147,9,-1.0,285,6,Dō,道,Municipality
231,Mikata,御方,7382,Teizan,Teizan,427.851,17.25367008608137,329,12,304,11,160,10,-1.82,332,12,Dō,道,Municipality
232,Kashino,樫野,20678,Iwatsu,Iwatsu,2856.861,7.238014030084068,320,42,325,43,59,8,-1.16,300,41,Dō,道,Municipality
233,Nakanoshima,中之島,75883,Iwatsu,Iwatsu,1438.5,52.75147723322906,297,41,256,34,89,11,0.5,110,21,Dō,道,Municipality
234,Hahajima,羽々島,2412,Iwatsu,Iwatsu,307.976,7.831779099670104,333,43,323,42,183,23,-1.87,333,43,Dō,道,Municipality
235,Shishikui,宍喰,372104,Nankyo,Nankyo,1946.565,191.15929855925694,64,8,213,19,71,7,-0.11,178,22,Dō,道,Municipality
236,Sasabe,笹部,576299,Nankyo,Nankyo,438.811,1313.3194017469937,30,3,121,13,159,11,1.06,45,7,Dō,道,Municipality
237,Tobari,戸張,147482,Nankyo,Nankyo,353.8025,416.8483829255022,212,21,184,17,174,13,0.76,78,14,Dō,道,Municipality
238,Nukata,額田,429400,Nankyo,Nankyo,424.426,1011.7193574380458,53,5,144,15,163,12,1.07,44,6,Dō,道,Municipality
239,Kakogawa,加古川,249067,Nankyo,Nankyo,36.853,6758.391447100643,118,11,38,3,306,26,0.61,98,16,To,都,Municipal-level city
240,Murotsu,室津,233592,Nankyo,Nankyo,920.2975,253.82226942917916,137,14,205,18,116,9,2.12,2,1,Dō,道,Municipality
241,Hikami,氷上,247495,Nankyo,Nankyo,59.3895,4167.319138905025,121,12,70,7,290,23,0.91,61,9,To,都,Municipal-level city
242,Kibune,貴船,195204,Nankyo,Nankyo,261.944,745.2127172220016,168,18,159,16,191,15,0.85,65,10,Dō,道,Municipality
243,Isonokami,石上,197302,Nankyo,Nankyo,103.2295,1911.29473648521,162,16,107,11,251,20,0.85,65,10,Dō,道,Municipality
244,Kashii,香椎,401503,Nankyo,Nankyo,175.5655,2286.9128615815753,59,7,99,8,213,17,0.7,87,15,Dō,道,Municipality
245,Aso,阿曽,116290,Nankyo,Nankyo,808.5055,143.8332825194139,266,23,228,20,125,10,0.57,102,17,Dō,道,Municipality
246,Kumeji,久米路,293105,Nankyo,Nankyo,50.827,5766.718476400339,98,9,43,5,298,24,1.39,13,3,To,都,Municipal-level city
247,Hatsuse,泊瀬,428186,Nankyo,Nankyo,194.951,2196.377551282117,54,6,101,9,205,16,0.77,74,13,Dō,道,Municipality
248,Kawashiro,河代,1786458,Nankyo,Nankyo,166.866,10705.94369134515,3,1,17,1,221,19,0.84,68,12,To,都,Municipal-level city
249,Ochi,越智,196384,Nankyo,Nankyo,30.3455,6471.602049727307,167,17,39,4,311,27,1.52,7,2,To,都,Municipal-level city
250,Takashina,高科,551255,Nankyo,Nankyo,65.4175,8426.720678717467,31,4,35,2,282,22,0.48,113,18,To,都,Municipal-level city
251,Furuichi,古市,622497,Nankyo,Nankyo,283.5215,2195.5901051595733,26,2,102,10,187,14,0.46,118,20,Dō,道,Municipality
252,Katsuma,勝間,264427,Nankyo,Nankyo,3197.854,82.68889073735075,109,10,251,23,50,4,0.04,162,21,Dō,道,Municipality
253,Kibata,木幡,46195,Nankyo,Nankyo,2191.041,21.083585382473444,314,27,288,25,67,6,-0.39,220,24,Dō,道,Municipality
254,Mutsure,六連,169583,Nankyo,Nankyo,167.277,1013.7855174351525,182,20,143,14,218,18,1.16,30,4,To,都,Municipal-level city
255,Ushibuka,牛深,237190,Nankyo,Nankyo,2721.711,87.14738633161274,133,13,249,22,61,5,-0.14,183,23,Dō,道,Municipality
256,Shido,志度,131592,Nankyo,Nankyo,76.994,1709.1201911837286,235,22,111,12,272,21,1.12,36,5,To,都,Municipal-level city
257,Akamase,赤間瀬,185465,Nankyo,Nankyo,1811.62,102.3752221768362,172,19,243,21,77,8,0.97,50,8,Dō,道,Municipality
258,Ayuki,綾木,67593,Nankyo,Nankyo,8612.916,7.847864764964619,304,25,322,27,11,1,-1.41,322,27,Dō,道,Municipality
259,Tajibe,丹治部,64482,Nankyo,Nankyo,6891.032,9.357379272074198,306,26,314,26,19,2,-1.33,314,26,Dō,道,Municipality
260,Kamitsuke,上毛,115492,Nankyo,Nankyo,5094.482,22.670018266822808,267,24,283,24,31,3,-0.56,243,25,Dō,道,Municipality
261,Yashiro,社,225498,Nankyo,Nankyo,40.689,5541.989235419893,145,15,47,6,302,25,0.48,113,18,To,都,Municipal-level city
262,Hiwasa,日和佐,183955,Nansho,Nansho,178.1,1032.8747894441326,174,4,140,1,212,17,1.26,21,2,Dō,道,Municipality
263,Murozumi,室積,317109,Nansho,Nansho,714.6605,443.71978023131265,84,1,177,2,132,14,0.56,105,7,Dō,道,Municipality
264,Takato,高遠,94436,Nansho,Nansho,1917.247,49.25604264865195,285,10,257,9,73,8,-0.04,166,11,Dō,道,Municipality
265,Minase,水無瀬,139497,Nansho,Nansho,1328.078,105.03675235942467,224,8,241,7,95,9,0.65,93,5,Dō,道,Municipality
266,Natsumi,奈津見,146395,Nansho,Nansho,858.5105,170.52208447071993,214,7,220,5,120,12,0.16,157,10,Dō,道,Municipality
267,Iya,祖谷,51198,Nansho,Nansho,11399.7,4.4911708202847445,308,14,330,17,4,1,-1.33,314,16,Dō,道,Municipality
268,Hinohara,檜原,65582,Nansho,Nansho,4561.141,14.378419785750978,305,13,311,15,37,3,0.46,118,8,Dō,道,Municipality
269,Kusaka,日下,69766,Nansho,Nansho,7477.734,9.329831737796503,300,12,315,16,15,2,-0.3,207,12,Dō,道,Municipality
270,Agawa,吾川,164581,Nansho,Nansho,619.377,265.72023178128995,186,6,200,4,142,16,1.1,39,3,To,都,Municipal-level city
271,Kuremi,呉見,97101,Nansho,Nansho,4345.64,22.344464796899878,283,9,287,12,40,4,0.44,122,9,Dō,道,Municipality
272,Takeno,竹野,276823,Nansho,Nansho,2941.322,94.11516318172576,103,2,245,8,55,6,0.97,50,4,Dō,道,Municipality
273,Nobe,延部,262919,Nansho,Nansho,2149.325,122.3263117490375,110,3,233,6,68,7,0.65,93,5,Dō,道,Municipality
274,Hinokuma,日隈,169288,Nansho,Nansho,626.09,270.389241163411,183,5,198,3,139,15,1.29,18,1,Dō,道,Municipality
275,Tōshi,答志,23429,Nansho,Nansho,1254.578,18.674805392729667,319,16,300,14,101,10,-1.38,319,17,Dō,道,Municipality
276,Kamine,嘉美根,33039,Nansho,Nansho,797.5455,41.425849685064996,316,15,266,10,126,13,-0.94,280,15,Dō,道,Municipality
277,Utsuro,宇津呂,16592,Nansho,Nansho,879.1975,18.871755208585103,323,17,298,13,118,11,-0.7,262,14,Dō,道,Municipality
278,Nabura,奈武良,89104,Nansho,Nansho,3035.989,29.349249947875304,287,11,272,11,53,5,-0.43,228,13,Dō,道,Municipality
279,Kaseda,加世田,180549,Tokushima,Tokushima,179.6755,1004.8615420577653,177,10,147,10,210,24,1.03,47,4,To,都,Municipal-level city
280,Ijūin,伊集院,206284,Tokushima,Tokushima,4990.499,41.3353454233735,157,9,268,26,33,7,-0.55,242,27,Dō,道,Municipality
281,Hishikari,菱刈,164400,Tokushima,Tokushima,312.771,525.6241787122208,187,12,172,14,181,22,-0.08,171,15,To,都,Municipal-level city
282,Takarabe,財部,116952,Tokushima,Tokushima,5136.815,22.767415217406118,264,29,282,30,30,6,-1.44,324,35,Dō,道,Municipality
283,Hiwaki,樋脇,109454,Tokushima,Tokushima,103.846,1054.003042967471,271,30,135,8,250,31,-0.19,192,19,To,都,Municipal-level city
284,Ichiki,市来,72274,Tokushima,Tokushima,3992.728,18.101408360399205,299,34,301,33,43,10,-0.99,284,29,Dō,道,Municipality
285,Kajiki,加治木,118539,Tokushima,Tokushima,696.7135,170.1402369840688,262,28,222,19,133,18,-0.34,214,21,Dō,道,Municipality
286,Ajimu,安心院,125295,Tokushima,Tokushima,934.477,134.080346546785,247,25,229,22,113,16,-0.51,238,25,Dō,道,Municipality
287,Taketa,竹田,243194,Tokushima,Tokushima,928.723,261.85848740690176,126,5,204,16,114,17,-0.08,171,15,Dō,道,Municipality
288,Kusu,玖珠,129492,Tokushima,Tokushima,151.0425,857.3216147772978,241,23,153,12,228,26,0.98,49,5,Dō,道,Municipality
289,Moriyasu,守安,429402,Tokushima,Tokushima,167.3455,2565.960841492601,52,2,86,4,217,25,0.54,108,8,To,都,Municipal-level city
290,Hayato,隼人,146590,Tokushima,Tokushima,344.4865,425.53191489361706,213,18,181,15,176,21,0.23,150,13,Dō,道,Municipality
291,Kushira,串良,158485,Tokushima,Tokushima,31.3045,5062.690667475922,196,14,62,2,310,35,0.67,91,7,To,都,Municipal-level city
292,Nokizawa,軒沢,697209,Tokushima,Tokushima,123.2315,5657.71738557106,19,1,44,1,238,28,1.09,41,3,To,都,Municipal-level city
293,Ibusuki,指宿,298018,Tokushima,Tokushima,116.313,2562.207147954227,94,4,88,5,243,30,0.33,137,12,Dō,道,Municipality
294,Hiji,日出,130501,Tokushima,Tokushima,76.9255,1696.459561523812,237,22,112,6,273,34,0.88,62,6,Dō,道,Municipality
295,Isa,伊佐,131598,Tokushima,Tokushima,132.205,995.4086456639309,232,21,148,11,234,27,0.38,129,10,Dō,道,Municipality
296,Kanoya,鹿屋,238402,Tokushima,Tokushima,1411.1,168.94762950889378,132,6,224,20,92,13,-0.39,220,23,Dō,道,Municipality
297,Chiran,知覧,124288,Tokushima,Tokushima,101.517,1224.3072588827488,249,26,128,7,255,32,-0.11,178,17,To,都,Municipal-level city
298,Ōguchi,大口,155699,Tokushima,Tokushima,1674.62,92.97571986480516,200,16,246,23,82,12,-0.56,243,28,Dō,道,Municipality
299,Nejime,根占,89482,Tokushima,Tokushima,536.766,166.7057898600135,286,32,226,21,149,20,0.47,115,9,Dō,道,Municipality
300,Tsuruta,鶴田,137490,Tokushima,Tokushima,644.5165,213.322700039487,228,20,209,18,134,19,0.37,132,11,Dō,道,Municipality
301,Kokubu,国分,164199,Tokushima,Tokushima,6727.317,24.40779882975635,188,13,277,29,20,3,-1.07,294,30,Dō,道,Municipality
302,Sadowara,佐土原,126384,Tokushima,Tokushima,122.204,1034.2050996694054,245,24,139,9,239,29,-0.33,211,20,To,都,Municipal-level city
303,Nobeoka,延岡,167010,Tokushima,Tokushima,7442.662,22.4395518700164,185,11,286,31,18,2,-1.36,318,33,Dō,道,Municipality
304,Takanabe,高鍋,225239,Tokushima,Tokushima,957.904,235.137341529005,146,8,207,17,111,15,1.44,11,2,Dō,道,Municipality
305,Togitsu,時津,237100,Tokushima,Tokushima,78.501,3020.3436898893005,134,7,77,3,271,33,2.16,1,1,To,都,Municipal-level city
306,Mimata,三股,122104,Tokushima,Tokushima,2595.26,47.04885059685734,252,27,258,24,62,11,-1.15,298,31,Dō,道,Municipality
307,Takaharu,高原,154295,Tokushima,Tokushima,180.018,857.1087335710873,202,17,154,13,209,23,0.14,158,14,To,都,Municipal-level city
308,Shimoya,志茂屋,156294,Tokushima,Tokushima,5520.415,28.312001905653833,199,15,273,27,26,4,-0.39,220,23,Dō,道,Municipality
309,Ojika,小値賀,78303,Tokushima,Tokushima,4593.336,17.047087345667723,295,33,306,34,36,9,-1.27,307,32,Dō,道,Municipality
310,Naru,奈留,101491,Tokushima,Tokushima,5176.956,19.604377553141266,279,31,293,32,29,5,-0.51,238,25,Dō,道,Municipality
311,Unzen,雲仙,19593,Tokushima,Tokushima,1261.017,15.53745905090891,321,35,310,35,100,14,-1.42,323,34,Dō,道,Municipality
312,Tsukura,津倉,389194,Tokushima,Tokushima,8298.501,46.89931350252292,60,3,259,25,13,1,-0.17,189,18,Dō,道,Municipality
313,Hario,針尾,139198,Tokushima,Tokushima,4958.167,28.074488011396145,226,19,274,28,34,8,-0.38,219,22,Dō,道,Municipality
314,Isawa,胆沢,121393,Miyagi,Miyagi,105.764,1147.7723989259105,254,8,133,2,248,19,1.58,5,1,Dō,道,Municipality
315,Senmaya,千厩,119103,Miyagi,Miyagi,271.0545,439.4060972977759,261,9,178,6,189,16,1.37,15,2,Dō,道,Municipality
316,Ekimaya,益間谷,712509,Miyagi,Miyagi,167.003,4266.44431537158,17,1,68,1,220,18,0.71,84,4,To,都,Municipal-level city
317,Shizukari,静狩,80024,Miyagi,Miyagi,95.1465,841.0608903112568,291,12,157,4,260,20,1.05,46,3,Dō,道,Municipality
318,Kesen,気仙,247294,Miyagi,Miyagi,521.833,473.8949050749953,122,3,176,5,151,15,0.36,134,5,Dō,道,Municipality
319,Wakuya,涌谷,266905,Miyagi,Miyagi,1309.515,203.81973478730674,108,2,212,7,97,13,-0.24,197,7,Dō,道,Municipality
320,Kannari,金成,98302,Miyagi,Miyagi,5711.188,17.21218072317003,281,11,305,9,24,7,-1.27,307,13,Dō,道,Municipality
321,Tsukidate,築館,103599,Miyagi,Miyagi,5916.619,17.509831205964083,275,10,302,8,23,6,-1.25,305,12,Dō,道,Municipality
322,Shiwa,紫波,187012,Miyagi,Miyagi,11090.97,16.861645104080168,171,5,308,10,5,4,-1.31,311,15,Dō,道,Municipality
323,Tome,登米,211349,Miyagi,Miyagi,243.86,866.6817026162552,150,4,150,3,196,17,-0.15,185,6,To,都,Municipal-level city
324,Monou,桃生,79103,Miyagi,Miyagi,10490.43,7.540491667167123,293,13,324,13,7,5,-1.23,304,11,Dō,道,Municipality
325,Esashi,江刺,151492,Miyagi,Miyagi,22971.89,6.594668527491643,204,7,327,15,2,2,-1.29,309,14,Dō,道,Municipality
326,Kindaichi,金田一,61402,Miyagi,Miyagi,14027.43,4.37728079912001,307,15,331,18,3,3,-1.16,300,9,Dō,道,Municipality
327,Shikine,式根,12194,Miyagi,Miyagi,2328.041,5.237880260699876,327,18,329,17,64,10,-1.22,303,10,Dō,道,Municipality
328,Rishiri,利尻,185193,Miyagi,Miyagi,32444.27,5.708034115114934,173,6,328,16,1,1,-1.5,325,18,Dō,道,Municipality
329,Kutsuna,久津那,14392,Miyagi,Miyagi,1706.472,8.433774477401329,326,17,320,12,80,11,-1.35,316,16,Dō,道,Municipality
330,Mikine,三根,6593,Miyagi,Miyagi,1611.394,4.0914884876076245,330,19,333,20,86,12,-1.13,297,8,Dō,道,Municipality
331,Tokara,吐噶喇,25585,Miyagi,Miyagi,3671.326,6.968871737350483,318,16,326,14,47,9,-1.39,320,17,Dō,道,Municipality
332,Okushiri,奥尻,69195,Miyagi,Miyagi,4223.231,16.384374901586014,302,14,309,11,41,8,-1.52,326,19,Dō,道,Municipality
333,Akusekijima,悪石島,4295,Miyagi,Miyagi,985.715,4.357243219388971,332,20,332,19,108,14,-1.55,328,20,Dō,道,Municipality
